normalized_part_number,catalog_unified_id,sku,name,brand_part_number,source_vendor,canonical_product_id,canonical_sku
7122,77276,VT-40-9907,Oil Pressure Gauge,7122,VTWIN,159966,CP-159967
77958,73149,VT-34-0744,8 inch Chrome Stripe Air Cleaner Cover,77958,VTWIN,155839,CP-155840
77958,62081,VT-15-7958,"M8 HEAD GASKET, 4.185 inch MLS, .040",77-958,VTWIN,144771,CP-144772
E250091BD6,13808,21130735,Black Battery Cable Set - '10-'13 XL,E25-0091B-D6,PU,104009,CP-104010
E250091BD6,90592,VT-32-1975,Battery Cable Set Black,E25-0091B-D6,VTWIN,173282,CP-173283
E250091BD7,13809,21130736,Black Battery Cable Set - '09-'13 FLH/T,E25-0091B-D7,PU,104010,CP-104011
E250091BD7,90593,VT-32-1976,Battery Cable Set Black,E25-0091B-D7,VTWIN,173283,CP-173284
3507X,61038,VT-11-9762,3-1/2 inch Evolution Piston Ring .010 Oversize,3507X,VTWIN,143728,CP-143729
3507X,24089,3507X,Ring Set,3507X,PU,113767,CP-113768
102009,13843,21020332,Dual-Fire Ignition Coil - Black - Harley Davidson,10-2009,PU,104044,CP-104045
102009,53447,WPS-820-60412,HD HP COIL EFI MARELLI FLH/FLT 95-98,10-2009,WPS,138443,CP-138444
B281256,4236,13102496,"Stiletto Shock - 13"" - Black/Red",B28-1256,PU,94798,CP-094799
B281256,56042,WPS-750-05580,"STILETTO SHOCKS 13"" TOURING `95-25 STD WEIGHT",B28-1256,WPS,(none),(none)
351567,13881,23300268,Outer Fairing Bracket - '96-'13 FLHT/FLHX,351567,PU,104076,CP-104077
351567,95345,VT-50-0279,Heavy Duty Outer Fairing Support Bracket Set Black,351567,VTWIN,178035,CP-178036
351567,58465,WPS-820-52354,FAIRING SUPPORT BRACKET HEAVY DUTY,351567,WPS,141183,CP-141184
24572,95983,VT-73-0041,7/16 inch Lock Washer Chrome,24572,VTWIN,178673,CP-178674
24572,92987,VT-37-9057,7/16 inch Lock Washer Chrome,24572,VTWIN,175677,CP-175678
W160331,29956,02140374,Axle Caps - Chrome - Front - Pair,W16-0331,PU,119276,CP-119277
W160331,92689,VT-37-0999,Chrome Front Axle Cap Cover Set Cap Style,W16-0331,VTWIN,175379,CP-175380
78287,62124,VT-15-8287,Ultima M8 Valve Stem Seal,78-287,VTWIN,144814,CP-144815
78287,77477,VT-42-0267,Chrome 3 Hole Skull Derby Cover,78287,VTWIN,160167,CP-160168
H070587B,30042,06100221,Slotted Wide Blade Lever Set - Black,H07-0587B,PU,119361,CP-119362
H070587B,67329,VT-26-2113,Black Slotted Hand Lever Set,H07-0587B,VTWIN,150019,CP-150020
NM334710302,8480,21200338,Molex MX 150 Connector - 3 Pin Female - Gray,NM-33471-0302,PU,98846,CP-098847
NM334710302,58864,WPS-850-08305,3-PIN FEMALE CONNECTOR GREY HD72514-07GY FL MODELS 07-UP,NM-33471-0302,WPS,98846,CP-098847
NM334710302,91013,VT-32-9697,Wire Terminal 3 Position Female Connector,NM-33471-0302,VTWIN,173703,CP-173704
210035,4576,14011076,"Pro Sport Front Fender - 19"" - FLT '24-'25",210-035,PU,95128,CP-095129
210035,86894,VT-18-8328,Manual Primary Chain Adjuster Kit,210035,VTWIN,169584,CP-169585
78113,8347,14050086,Fender Bib - Smooth Chrome-Studded - Black - HD Softail,78113,PU,98717,CP-098718
78113,68478,VT-29-0206,2:1 Siamese Exhaust Header Set Chrome,78113,VTWIN,151168,CP-151169
792103,14108,792103,Starter Drive Clutch - Harley Davidson,79-2103,PU,104273,CP-104274
792103,57615,WPS-279-2103,STARTER CLUTCH ASSEMBLY,79-2103,WPS,140375,CP-140376
31SI,64156,VT-20-0909,BDL 11mm Belt Drive Front Pulley,31SI,VTWIN,146846,CP-146847
31SI,26785,11200433,"Front Pulley - Replacement - 1-1/2"" - 31T - 11 mm",31SI,PU,116366,CP-116367
801001,14109,801001,Starter - 1.4 kW - Black - '90-'06 Big Twin,80-1001,PU,104274,CP-104275
801001,57621,WPS-280-1001,BIG TWIN STARTER 1.4KW BLACK 10-32 SHAFT,80-1001,WPS,140381,CP-140382
320459NU,14145,05100270,"Kickstand - Chrome - 11""",32-0459NU,PU,104307,CP-104308
320459NU,89145,VT-27-1695,Jiffy Kickstand Leg Chrome,32-0459NU,VTWIN,171835,CP-171836
A24032SET,96410,VT-10-0428,Sprocket Shaft Spacer Shim Set,A-24032-SET,VTWIN,179100,CP-179101
A24032SET,30649,DS196135,"Sprocket Shaft Spacers - 0.060"" - 0.210"" - Set 6",A-24032-SET,PU,119948,CP-119949
77401,11692,16010203,"Universal Shifter Kit - 7/8""",77401,PU,101988,CP-101989
77401,93976,VT-42-9913,Black Battery Carrier,77401,VTWIN,176666,CP-176667
NM334720601,11261,21200318,Molex MX 150 Connector - 6 Pin Female - Black,NM-33472-0601,PU,101567,CP-101568
NM334720601,58887,WPS-850-08311,MLX 6-PIN FEM CONN BLACK RIGHT HBAR CNTRL HD 72414-07BK 07-UP,NM-33472-0601,WPS,101567,CP-101568
NM334720601,90996,VT-32-9677,Wire Terminal 6 Position Female Connector,NM-33472-0601,VTWIN,173686,CP-173687
55129,14197,04070192,Fork Seal Kit - 49 mm - Showa Forks,55-129,PU,104357,CP-104358
55129,37520,WPS-22-55129,FORK SEAL KIT,55-129,WPS,126542,CP-126543
190389,93894,VT-42-0927,Voltage Regulator Cover Chrome,19-0389,VTWIN,176584,CP-176585
190389,787,78050012,Regulator Cover - Chrome - '89-'99 FXST/FLST,19-0389,PU,91556,CP-091557
GBDU001,8751,17104921,Brake Rotor - Front - Black,GBDU001,PU,99110,CP-099111
GBDU001,57320,WPS-17-DU001,"ROTOR 11.5"" FLOATING WAVE FR BLACK",GBDU001,WPS,(none),(none)
305,28663,17420047,"Banjo Fitting - 3/8"" x AN3 - 90° - Long",305,PU,118107,CP-118108
305,94161,VT-43-1050,Inner Primary Cover Chrome,305,VTWIN,176851,CP-176852
A1745266,14618,09270009,Spacers - Rocker Arm - Top End - Shovelhead,A-17452-66,PU,104770,CP-104771
A1745266,84182,VT-12-2115,Rocker Arm Spacer,A-17452-66,VTWIN,166872,CP-166873
A6466W,14620,09270025,"Washers - Rocker Arm - 7/16"" x 3/4"" x 1/64"" - Shovelhead | XL",A-6466W,PU,104772,CP-104773
A6466W,84008,VT-12-1193,Rocker Arm End Shaft Washer,A-6466W,VTWIN,166698,CP-166699
55135,37522,WPS-22-55135,FORK SEAL KIT,55-135,WPS,126544,CP-126545
55135,27249,06360607,"Gen 2 Aluminum Clamp - 1-1/2"" - Black",55135,PU,116783,CP-116784
76581,11167,08030331,Tripper™ Vintage Rear Pillion Pad - Dyna,76581,PU,101476,CP-101477
76581,92842,VT-38-0789,Skull Gas Cap,76581,VTWIN,175532,CP-175533
D26014029,64080,VT-20-0526,29 Tooth Front Pulley,D26-0140-29,VTWIN,146770,CP-146771
D26014029,2586,12030020,Transmission Pulley - 29 Tooth - '91-'03 XL,D26-0140-29,PU,93267,CP-093268
A3150365,14640,21100235,Starter Shaft - Shifter Collar,A-31503-65,PU,104792,CP-104793
A3150365,86367,VT-17-1502,Electric Starter Shifter Collar,A-31503-65,VTWIN,169057,CP-169058
A3343850,14641,DS194120,Bushing - Main Shaft/Starter Gear - '31-'69 Harley-Davidson,A-33438-50,PU,104793,CP-104794
A3343850,96481,VT-10-0721,Kick Starter Gear Bushing,A-33438-50,VTWIN,179171,CP-179172
A2555136,14642,DS194164,"Thrust Washer - 0.055"" - Cam Gear - Big Twin",A-25551-36,PU,104794,CP-104795
A2555136,84094,VT-12-1441,Cam Bearing Washer .055 Size,A-25551-36,VTWIN,166784,CP-166785
A3510036,14647,DS194282,Housing - Main Shaft/Ball Bearing - '37-'79 Harley-Davidson,A-35100-36,PU,104798,CP-104799
A3510036,86498,VT-17-9761,Bearing Housing Right Side,A-35100-36,VTWIN,169188,CP-169189
A3578936,14663,DS194135,Countershaft Bushing - 1st/Reverse Gear - '37-'84 Harley-Davidson,A-35789-36,PU,104814,CP-104815
A3578936,96488,VT-10-0729,Transmission Low Gear Bushing,A-35789-36,VTWIN,179178,CP-179179
300067,31647,06010824,"1"" Handlebar - Bad Boy - Chrome",300067,PU,120930,CP-120931
300067,21479,17104712,"Spider Rotor - 11.8"" - Gold - Rear",300-067,PU,111295,CP-111296
110065,14770,17416843,"EZ Install Brake Line - 65"" - Stainless Steel Braid",110065,PU,104919,CP-104920
110065,39043,WPS-57-10065,COOLING SYSTEM STEPLESS CLAMP KIT W/BOX 85/PC,11-0065,WPS,127827,CP-127828
4091,14827,09280025,Fast Install® Pushrods - Adjustable - Evolution Big Twin,4091,PU,104976,CP-104977
4091,41005,WPS-811-04091,ADJUSTABLE PUSH RODS FAST INSTALL,4091,WPS,129573,CP-129574
4055,14829,09290024,Race Series® Solid Lifters - Twin Cam | M8 | XL/XR 1200 | Buell,4055,PU,104978,CP-104979
4055,41000,WPS-811-04055,SOLID LIFTERS RACE SERIES,4055,WPS,129568,CP-129569
9962,14853,22120861,Head Temperature Sensor,9962,PU,105002,CP-105003
9962,77709,VT-42-1104,Wyatt Gatling Saddlebag Face Plate,9962,VTWIN,160399,CP-160400
8040,14862,09250950,"Sprocket Spacer - Camshaft Alignment - 0.297""-0.357"" - Twin Cam '99-'06 (except '06 Dyna)",8040,PU,105011,CP-105012
8040,67776,VT-27-1067,Black Milled Style Footpeg Set,8040,VTWIN,150466,CP-150467
120041,36805,WPS-12-0041,"TYGON BLACK FUEL LINE 1/4""",12-0041,WPS,98311,CP-098312
120041,7924,07060019,"Premium Fuel Line - Black - 1/4"" - 25'",12-0041,PU,98311,CP-098312
120041,16674,04120666,Fork Nut Cover - Chrome,120-041,PU,106725,CP-106726
120041,41800,WPS-820-50510,CARB SUPPORT BRACKET ONLY CHROME BIGTWIN 90-92,120041,WPS,130215,CP-130216
120041,71715,VT-33-0310,Chrome Die Cast Box Style Tail Lamp,12-0041,VTWIN,154405,CP-154406
2075,14865,09240238,Outer Cam Ball Bearing - '99-'06 Twin Cam (Except '06 Dyna),2075,PU,105014,CP-105015
2075,40986,WPS-811-02075,OUTER CAM BEARINGS,2075,WPS,129554,CP-129555
2075,51489,WPS-85-02075,MUSHROOM PLUGS PACKAGE OF 25,2075,WPS,137115,CP-137116
C6131T,23770,24010287,Rotor Bolt Set - Lace - Chrome,C-61-31T,PU,113461,CP-113462
C6131T,42584,WPS-830-1064,REAR BRAKE ROTOR TORX TORX BUTTONHEAD 92-UP LACED,C-61-31T,WPS,130879,CP-130880
2061,14875,09250535,Camshaft Installation - Plus Kit - Gear Drive - Twin Cam '99-'06 (except '06 Dyna),2061,PU,105024,CP-105025
2061,40981,WPS-811-02061,CAMSHAFT INSTALL KIT,2061,WPS,129549,CP-129550
2061,77199,VT-40-1467,"OIL LINE FITTING, 1/4 inch X 3/8 inch, CHROME",2061,VTWIN,159889,CP-159890
2064,14896,09250628,Camshaft Installation - Plus Kit - Chain Drive Conversion - Twin Cam '99-'06 (except '06 Dyna),2064,PU,105045,CP-105046
2064,40983,WPS-811-02064,CAMSHAFT INSTALL KIT FOR CONVERSION CAM KITS,2064,WPS,129551,CP-129552
5468,14909,10103320,BA Air Cleaner Kit - Chrome/Chrome with Red Filter - '93-'99 Evolution Big Twin,5468,PU,105058,CP-105059
5468,14992,19010757,Forceflow Cylinder Head Cooler Kit - Black - M8 Touring,5468,PU,105139,CP-105140
8022,14923,24010993,Fastener Kit - Cam Plate/Oil Pump - HP+/Race Series - M8,8022,PU,105072,CP-105073
8022,53309,WPS-56-8022,SPARK PLUG CAP SD05F REPLACES NGK # 8022,8022,WPS,138348,CP-138349
GBDU011,14937,17104931,"Wave® Brake Rotor - Front - 13"" - Narrow Band - Machined Black",GBDU011,PU,105086,CP-105087
GBDU011,57326,WPS-17-DU011,"ROTOR 13"" FLOATING WAVE RADIAL FR BLACK",GBDU011,WPS,(none),(none)
86264,942,17310415,Master Cylinder Rebuild Kit - Front - Single Disc,86264,PU,91710,CP-091711
86264,58650,WPS-820-32010,MASTER CYLINDER REBUILD KIT 11MM SINGLE 07-UP XL,86264,WPS,141349,CP-141350
86264,87413,VT-23-0288,Handlebar Master Cylinder Rebuild Kit,86264,VTWIN,170103,CP-170104
87158,13762,17310420,Master Cylinder Rebuild Kit - Front - Single Disc - ABS,87158,PU,103967,CP-103968
87158,50555,WPS-820-50609,FRT MSTR CYL REBLD KIT ABS OE# 41700084,87158,WPS,136559,CP-136560
87158,87830,VT-23-1827,Handlebar Master Cylinder Rebuild Kit,87158,VTWIN,170520,CP-170521
83117,7134,17310121,Master Cylinder - Rear - Chrome,83117,PU,97578,CP-097579
83117,93474,VT-39-1130,AEE 4 inch Dakota Style Speedometer and Tachometer Black,83117,VTWIN,176164,CP-176165
87717,13766,17310544,Rear Master Cylinder Repair Kit - XL 07-13,87717,PU,103970,CP-103971
87717,50625,WPS-820-50612,REAR MSTR CYL REBUILD KIT XL 07-13 W/ RET BOOT 42810-07A,87717,WPS,136609,CP-136610
87717,87740,VT-23-1212,Rear Master Cylinder Rebuild Kit,87717,VTWIN,170430,CP-170431
3512537,14988,DS195016,Main Shaft Bearing Race - 4-Speed - '37-E'77 Big Twin,35125-37,PU,105135,CP-105136
3512537,86065,VT-17-0220,Mainshaft Race Standard,35125-37,VTWIN,168755,CP-168756
323494,46933,WPS-232-3494,WHEEL WEIGHTS 5 GRAM SILVER 360 PIECE/BOX,32-3494,WPS,134115,CP-134116
323494,9399,03650045,Wheel Weights - Square - Adhesive Stick-On - Silver - 360 Pack,32-3494,PU,99748,CP-099749
2402354,15006,DS198839,Gear-Side Pinion Shaft Nut,24023-54,PU,105153,CP-105154
2402354,83829,VT-12-0613,Jims Pinion Shaft Nut 5/8 inch-24,24023-54,VTWIN,166519,CP-166520
JGI3498604,15052,09350109,Inspection Cover Gasket - XL,JGI-34986-04,PU,105198,CP-105199
JGI3498604,84799,VT-14-0995,V-Twin Chain Inspection Gasket,JGI-34986-04,VTWIN,167489,CP-167490
JGI1863348F,15053,09343432,Rear Tappet Block Gasket - '48-'99 Big Twin,JGI-18633-48-F,PU,105199,CP-105200
JGI1863348F,85470,VT-15-1438,James Tappet Rear Gasket,JGI-18633-48-F,VTWIN,168160,CP-168161
JGI11125XMSF,15055,09341582,Crankcase Saver Kit - Foamet® - '70-'84 Shovelhead,JGI-11125-XMSF,PU,105201,CP-105202
JGI11125XMSF,61790,VT-15-1281,James Inner Primary O-Ring Saver Kit,JGI-11125-XMSF,VTWIN,144480,CP-144481
660411,7117,17410868,Brake Line - Front (Lower/Upper) - Stainless Steel,660411,PU,97562,CP-097563
660411,49373,WPS-70-660411,ARMOR COAT IDLE CABLE,66-0411,WPS,135843,CP-135844
JGI3490107F,15058,09341623,Primary Cover Gasket - Foamet® - '07-'16 Touring,JGI-34901-07-F,PU,105204,CP-105205
JGI3490107F,85450,VT-15-1395,James Foamet Primary Cover Gasket,JGI-34901-07-F,VTWIN,168140,CP-168141
4532,2794,17411002,"Brake Line - 32"" - Black Pearl",4532,PU,93450,CP-093451
4532,68416,VT-29-0031,FLT 2:1 Lake Style Exhaust System Black,4532,VTWIN,151106,CP-151107
JGI1769507,15062,09342099,Center Rocker Cover Gasket - '07-'22 Sportster,JGI-17695-07,PU,105208,CP-105209
JGI1769507,85474,VT-15-1446,James Center Rocker Cover Gasket,JGI-17695-07,VTWIN,168164,CP-168165
JGI3490194F,15065,09344630,Primary Cover Gasket,JGI-34901-94-F,PU,105211,CP-105212
JGI3490194F,61834,VT-15-1336,James Foamet Beaded Primary Cover Gasket,JGI-34901-94-F,VTWIN,144524,CP-144525
3561465,85995,VT-17-0128,Transmission Countershaft,35614-65,VTWIN,168685,CP-168686
3561465,85992,VT-17-0125,Transmission Countershaft,35614-65,VTWIN,168682,CP-168683
JGI2541699DL,15073,09350090,Derby Cover Seal - '99-'06 Twin Cam (except 06 Dyna),JGI-25416-99-DL,PU,105219,CP-105220
JGI2541699DL,61786,VT-15-1277,James Derby Cover Gasket,JGI-25416-99-DL,VTWIN,144476,CP-144477
5521,21593,17411032,"Brake Line - 21"" - Polished Stainless",5521,PU,111401,CP-111402
5521,30972,10103147,BA Race Series Air Cleaner Kit - Raw - Black Filter,5521,PU,120265,CP-120266
JGI2909595,15079,DS173445,Back Plate Gasket - 10 Pack,JGI-29095-95,PU,105225,CP-105226
JGI2909595,85085,VT-15-0596,Injector Air Cleaner Gasket,JGI-29095-95,VTWIN,167775,CP-167776
JGI1677999X,15084,DS174203,1 Piece Lower Rocker Housing Gasket - '84-'99 EVO,JGI-16779-99-X,PU,105230,CP-105231
JGI1677999X,85415,VT-15-1245,James Lower Rocker Box Gasket,JGI-16779-99-X,VTWIN,168105,CP-168106
JGI1703466,15090,DS173242,Top End Gasket Kit - '66-'84 Shovelhead,JGI-17034-66,PU,105236,CP-105237
JGI1703466,85187,VT-15-0823,Top End Gasket Kit,JGI-17034-66,VTWIN,167877,CP-167878
JGI1863448C,15092,DS173377,Front Tappet Block Gasket - '48-'99 Big Twin,JGI-18634-48-C,PU,105238,CP-105239
JGI1863448C,85237,VT-15-0927,James Tappet Front Gasket,JGI-18634-48-C,VTWIN,167927,CP-167928
JGI1863236,15094,DS173454,Tappet Block Gasket - '36-'47 Knucklehead,JGI-18632-36,PU,105240,CP-105241
JGI1863236,85235,VT-15-0925,James Tappet Block Gasket,JGI-18632-36,VTWIN,167925,CP-167926
JGI6056790,15095,DS173476,"Inspection Cover Gasket with Silicone One Side - 0.062"" - 4 Speed",JGI-60567-90,PU,105241,CP-105242
JGI6056790,85149,VT-15-0703,James Inspection Oval Gasket,JGI-60567-90,VTWIN,167839,CP-167840
JGI3490679A,15096,DS173478,"Primary Inspection Gasket with Bead - 0.062"" - FLT/FXR",JGI-34906-79-A,PU,105242,CP-105243
JGI3490679A,85150,VT-15-0704,James Inspection Cover Gasket,JGI-34906-79-A,VTWIN,167840,CP-167841
JGI6053881C,15098,DS174352,"Primary Cover Gasket - 9 Hole - Rigid Mount 0.062"" paper with Silicone Bead - Big Twin",JGI-60538-81-C,PU,105244,CP-105245
JGI6053881C,85219,VT-15-0900,James Primary Cover Gasket,JGI-60538-81-C,VTWIN,167909,CP-167910
JGI6056736,15099,DS174380,Primary Inspection Cover Gasket - Big Twin,JGI-60567-36,PU,105245,CP-105246
JGI6056736,85232,VT-15-0920,James Inspection Plate Gasket,JGI-60567-36,VTWIN,167922,CP-167923
JGI11124,15103,DS194420,Cam Gear Cover Oil Single Lip Seal - '71-'03 - Sportster,JGI-11124,PU,105249,CP-105250
JGI11124,84647,VT-14-0600,James Oil Seal for Cam Cover,JGI-11124,VTWIN,167337,CP-167338
JGI6053989X,15104,DS174382,Primary Cover Gasket - Silicone - '89-'93 Softail/Dyna,JGI-60539-89-X,PU,105250,CP-105251
JGI6053989X,85220,VT-15-0902,James Primary Cover Gasket,JGI-60539-89-X,VTWIN,167910,CP-167911
NTBWX04,70517,VT-32-1205,Throttle by Wire +4 inch Extension Harness Kit,NTBW-X04,VTWIN,153207,CP-153208
NTBWX04,34272,21200244,Throttle-By-Wire Extension Harness - Harley Davidson,NTBW-X04,PU,123486,CP-123487
70291,70003,VT-32-3114,Ultima Starter Insulating Boot,70-291,VTWIN,152693,CP-152694
70291,84906,VT-15-0176,V-Twin Primary Cover Gaskets,70291,VTWIN,167596,CP-167597
MCCBR7,38009,WPS-275-01016,CIRCUIT BREAKER 40AMP,MCCBR7,WPS,98255,CP-098256
MCCBR7,90244,VT-32-0460,40 Amp Circuit Breaker,MC-CBR7,VTWIN,172934,CP-172935
204257,15195,09260409,"Valve - Intake - 1.750"" - Standard - Panhead",20-4257,PU,105340,CP-105341
204257,60864,VT-11-6000,Stainless Black Diamond Intake Valve,20-4257,VTWIN,143554,CP-143555
204257,57517,WPS-191-17013,BLACK DIAMOND INTAKE VALVE HD PANHEAD 48-65,20-4257,WPS,140280,CP-140281
2022650,15201,09263210,"Engine Valve Kit - 0.600"" Lift - Evolution Big Twin '84-'99",20-22650,PU,105346,CP-105347
2022650,60466,VT-11-2027,Kibblewhite Valve and Spring Kit,20-22650,VTWIN,143156,CP-143157
2022450,15203,09263314,"Engine Valve Kit - 0.415"" Lift - 74"" Shovelhead '66-'77",20-22450,PU,105348,CP-105349
2022450,60464,VT-11-2025,Kibblewhite Valve and Spring Kit,20-22450,VTWIN,143154,CP-143155
204323,15205,09260762,"Valve Guide - Intake/Exhaust - 0.5650"" OD - Evolution Big Twin | Twin Cam | XL",20-4323,PU,105350,CP-105351
204323,37378,WPS-191-57040,GUIDE IN / EX +0.003 BRONZE HD EVO 84-99,20-4323,WPS,126407,CP-126408
204101,15207,09261452,"Valve - Intake - 1.750"" - Standard - Knucklehead",20-4101,PU,105352,CP-105353
204101,83550,VT-11-6095,Black Diamond Stem Intake Valve,20-4101,VTWIN,166240,CP-166241
2020325,15213,09260195,"Valve - Exhaust - 1.575"" - Standard - 88""/96""/103"" Twin Cam",20-20325,PU,105358,CP-105359
2020325,57516,WPS-191-17012,"BLACK DIAMOND EXHAUST VALVE HD TWIN CAM 88-103"" 05-11",20-20325,WPS,140279,CP-140280
2020325,83552,VT-11-6120,Black Diamond Stem Exhaust Valve,20-20325,VTWIN,166242,CP-166243
202024M,15216,09262270,"Valve Guide - 0.5690"" OD - Intake - Big Twin '48-'E79",20-2024M,PU,105361,CP-105362
202024M,60530,VT-11-2304,Kibblewhite Maganese .004 Intake Valve Guide,20-2024M,VTWIN,143220,CP-143221
202121M,15217,09262302,"Valve Guide - 0.5630"" OD - Intake - Twin Cam | XL",20-2121M,PU,105362,CP-105363
202121M,60542,VT-11-2317,Precision Machine Maganese .001 Intake Valve Guide,20-2121M,VTWIN,143232,CP-143233
202134M,15218,09262311,"Valve Guide - 0.5660"" OD - Exhaust - Twin Cam | XL",20-2134M,PU,105363,CP-105364
202134M,60550,VT-11-2325,Kibblewhite Maganese .004 Exhaust Valve Guide,20-2134M,VTWIN,143240,CP-143241
202123,15219,09260725,"Valve Guide - Intake - 0.5650"" OD - Evolution Big Twin '84-'99",20-2123,PU,105364,CP-105365
202123,37404,WPS-191-57054,GUIDE INTAKE +0.003 BRONZE HD EVO 84-99 SPORTSTER 86-03,20-2123,WPS,126433,CP-126434
202022C,15220,09260748,"Valve Guide - Intake - 0.5670"" OD - Panhead '48-'65 | Shovelhead '66-'E79",20-2022C,PU,105365,CP-105366
202022C,60032,VT-11-0968,Kibblewhite Cast Iron .002 Intake Valve Guide,20-2022C,VTWIN,142722,CP-142723
202022C,37385,WPS-191-57043C,GUIDE INTAKE +0.002 CAST IRON HD PAN 48-65 & SHOVEL 66-77,20-2022C,WPS,126414,CP-126415
204324,15221,09260763,"Valve Guide - Intake/Exhaust - 0.5660"" OD - Evolution Big Twin | Twin Cam | XL",20-4324,PU,105366,CP-105367
204324,60074,VT-11-1023,Kibblewhite Ampco 45 .004 Valve Guide Intake and Exhaust,20-4324,VTWIN,142764,CP-142765
120402D,8162,09026321,Taillight Lens - Bottom Tag Window - Red,12-0402D,PU,98534,CP-098535
120402D,72067,VT-33-1158,Tail Lamp Lens Laydown Style Red,12-0402D,VTWIN,154757,CP-154758
2022350,15227,09263208,"Engine Valve Kit - 0.400"" Lift - XL '70-'83",20-22350,PU,105372,CP-105373
2022350,60470,VT-11-2031,Kibblewhite Valve and Spring Kit,20-22350,VTWIN,143160,CP-143161
710304,15230,09350458,"Valve Guide Seals - Tophat - 88""/96""/103"" Twin Cam | XL (except RH Sportster)",71030-4,PU,105375,CP-105376
710304,43369,WPS-191-37022,"SEAL VALVE STEM 7.0MM 4/PK HD TWIN CAM 88-103"" '05-11",71030-4,WPS,131488,CP-131489
710304,84787,VT-14-0983,Top Hat Style Valve Stem Seal,71030-4,VTWIN,167477,CP-167478
2021040,15231,24011105,Cylinder Studs - M8,20-21040,PU,105376,CP-105377
2021040,47673,WPS-191-58018,H.T. STEEL CYLINDER STUDS (PKG. OF 8),20-21040,WPS,134633,CP-134634
2021040,60116,VT-11-1103,M8 Cylinder Stud Set,20-21040,VTWIN,142806,CP-142807
204320,15233,09260744,"Valve Guide - Intake/Exhaust - 0.5620"" OD - Evolution Big Twin | Twin Cam | XL",20-4320,PU,105378,CP-105379
204320,37334,WPS-191-57003,GUIDE IN / EX STD. BRONZE HD EVOLUTION 87-99,20-4320,WPS,126363,CP-126364
204320,60071,VT-11-1019,Kibblewhite Ampco 45 Standard Valve Guide Intake and Exhaust,20-4320,VTWIN,142761,CP-142762
202052M,15238,09262284,"Valve Guide - 0.6270"" OD - Intake - Shovelhead - 'L79-84",20-2052M,PU,105383,CP-105384
